Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0030593	GO:1904124	microglial cell migration	4.730e-03	0.000e+00	8.118e+00	7.629e-09
GO:0030593	GO:0008347	glial cell migration	7.364e-03	0.000e+00	5.360e+00	4.368e-06
GO:0030593	GO:0072672	neutrophil extravasation	1.257e-02	0.000e+00	6.350e+00	4.463e-07
GO:0030593	GO:0072683	T cell extravasation	6.952e-03	0.000e+00	6.183e+00	6.561e-07
GO:0030593	GO:0045123	cellular extravasation	1.096e-02	0.000e+00	5.613e+00	2.438e-06
GO:0036314	GO:0036314	response to sterol	7.284e-06	0.000e+00	5.246e+00	5.676e-06
GO:0036314	GO:0070723	response to cholesterol	3.662e-05	0.000e+00	5.384e+00	4.127e-06
GO:0036314	GO:0036315	cellular response to sterol	1.134e-03	0.000e+00	5.506e+00	3.120e-06
GO:0036314	GO:0071397	cellular response to cholesterol	9.168e-03	0.000e+00	5.673e+00	2.121e-06
GO:0045625	GO:0045625	regulation of T-helper 1 cell differentiation	7.294e-06	0.000e+00	5.883e+00	1.308e-06
GO:0045625	GO:0045622	regulation of T-helper cell differentiation	1.109e-03	0.000e+00	5.171e+00	6.740e-06
GO:0045625	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	5.279e-05	0.000e+00	4.929e+00	1.179e-05
GO:0045625	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	5.826e-04	0.000e+00	5.247e+00	5.668e-06
GO:0006564	GO:0006564	L-serine biosynthetic process	7.712e-06	0.000e+00	3.244e+00	5.702e-04
GO:0006564	GO:0006563	L-serine metabolic process	4.027e-05	0.000e+00	2.845e+00	1.430e-03
GO:0006564	GO:0009070	serine family amino acid biosynthetic process	4.496e-06	0.000e+00	2.617e+00	2.413e-03
GO:0006564	GO:0009069	serine family amino acid metabolic process	1.484e-03	0.000e+00	2.397e+00	4.010e-03
GO:0006564	GO:0006545	glycine biosynthetic process	3.068e-03	0.000e+00	3.185e+00	6.527e-04
GO:0006564	GO:0006534	cysteine metabolic process	1.504e-03	0.000e+00	2.785e+00	1.641e-03
GO:0006564	GO:0000096	sulfur amino acid metabolic process	8.313e-03	0.000e+00	2.358e+00	4.380e-03
GO:0015949	GO:0015949	nucleobase-containing small molecule interconversion	7.720e-06	0.000e+00	5.241e+00	5.745e-06
GO:0021794	GO:0021794	thalamus development	9.364e-06	0.000e+00	5.494e+00	3.204e-06
GO:0021794	GO:0002064	epithelial cell development	8.826e-03	0.000e+00	4.385e+00	4.123e-05
GO:0002468	GO:0002468	dendritic cell antigen processing and presentation	9.417e-06	0.000e+00	6.567e+00	2.708e-07
GO:0002468	GO:0019882	antigen processing and presentation	6.439e-03	0.000e+00	3.467e+00	3.410e-04
GO:0002468	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	2.759e-04	0.000e+00	5.562e+00	2.743e-06
GO:0002468	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	7.020e-04	0.000e+00	5.672e+00	2.129e-06
GO:0002468	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	3.197e-04	0.000e+00	4.730e+00	1.862e-05
GO:0010039	GO:0010039	response to iron ion	1.013e-05	0.000e+00	4.832e+00	1.474e-05
GO:0010039	GO:0071281	cellular response to iron ion	9.690e-04	0.000e+00	5.683e+00	2.075e-06
GO:0010039	GO:0046686	response to cadmium ion	1.245e-04	0.000e+00	4.691e+00	2.038e-05
GO:0010039	GO:0071276	cellular response to cadmium ion	3.256e-04	0.000e+00	5.270e+00	5.371e-06
GO:0010039	GO:0010044	response to aluminum ion	4.859e-03	0.000e+00	5.834e+00	1.465e-06
GO:0010039	GO:0033273	response to vitamin	1.127e-04	0.000e+00	5.002e+00	9.956e-06
GO:0010039	GO:0071295	cellular response to vitamin	4.867e-04	0.000e+00	5.391e+00	4.066e-06
GO:0010039	GO:0007584	response to nutrient	2.047e-04	0.000e+00	4.592e+00	2.558e-05
GO:0010039	GO:0033591	response to L-ascorbic acid	3.152e-04	0.000e+00	6.775e+00	1.678e-07
GO:0010039	GO:0051593	response to folic acid	3.844e-04	0.000e+00	5.510e+00	3.090e-06
GO:0010039	GO:0032094	response to food	7.594e-04	0.000e+00	5.529e+00	2.960e-06
GO:0010039	GO:0033280	response to vitamin D	1.048e-03	0.000e+00	5.573e+00	2.674e-06
GO:0010039	GO:0097501	stress response to metal ion	4.976e-03	0.000e+00	6.004e+00	9.918e-07
GO:0010039	GO:1990169	stress response to copper ion	1.116e-02	0.000e+00	6.827e+00	1.488e-07
GO:0060512	GO:0060512	prostate gland morphogenesis	1.013e-05	0.000e+00	6.100e+00	7.934e-07
GO:0060512	GO:0022612	gland morphogenesis	2.889e-04	0.000e+00	5.050e+00	8.922e-06
GO:0060512	GO:0007435	salivary gland morphogenesis	9.574e-05	0.000e+00	5.335e+00	4.623e-06
GO:0060512	GO:0060425	lung morphogenesis	9.199e-04	0.000e+00	5.352e+00	4.444e-06
GO:0060512	GO:0042475	odontogenesis of dentin-containing tooth	1.597e-02	0.000e+00	4.912e+00	1.224e-05
GO:0060512	GO:0043589	skin morphogenesis	3.948e-03	0.000e+00	5.616e+00	2.422e-06
GO:0032365	GO:0032365	intracellular lipid transport	1.017e-05	0.000e+00	4.399e+00	3.992e-05
GO:0032365	GO:0032366	intracellular sterol transport	5.849e-05	0.000e+00	4.522e+00	3.005e-05
GO:0032365	GO:0006853	carnitine shuttle	1.975e-04	0.000e+00	7.305e+00	4.959e-08
GO:0032365	GO:0032367	intracellular cholesterol transport	4.860e-05	0.000e+00	4.835e+00	1.464e-05
GO:0032365	GO:0030301	cholesterol transport	3.206e-03	0.000e+00	4.447e+00	3.576e-05
GO:0032365	GO:0043691	reverse cholesterol transport	2.698e-04	0.000e+00	5.389e+00	4.082e-06
GO:0032365	GO:0033344	cholesterol efflux	7.539e-04	0.000e+00	5.164e+00	6.847e-06
GO:0032365	GO:0015721	bile acid and bile salt transport	8.000e-03	0.000e+00	4.995e+00	1.011e-05
GO:0032692	GO:0032692	negative regulation of interleukin-1 production	1.089e-05	0.000e+00	5.275e+00	5.310e-06
GO:0032692	GO:0032691	negative regulation of interleukin-1 beta production	2.746e-05	0.000e+00	5.371e+00	4.261e-06
GO:0032692	GO:0032651	regulation of interleukin-1 beta production	1.845e-05	0.000e+00	4.862e+00	1.373e-05
GO:0032692	GO:0032731	positive regulation of interleukin-1 beta production	2.332e-04	0.000e+00	5.076e+00	8.403e-06
GO:0071731	GO:0071731	response to nitric oxide	1.113e-05	0.000e+00	5.763e+00	1.724e-06
GO:0071731	GO:0014074	response to purine-containing compound	5.998e-03	0.000e+00	4.498e+00	3.175e-05
GO:0071731	GO:0097305	response to alcohol	2.397e-04	0.000e+00	4.254e+00	5.572e-05
GO:0071731	GO:0097306	cellular response to alcohol	1.878e-03	0.000e+00	4.815e+00	1.530e-05
GO:0071731	GO:0035094	response to nicotine	2.888e-03	0.000e+00	5.323e+00	4.753e-06
GO:0071731	GO:0051597	response to methylmercury	7.549e-03	0.000e+00	5.714e+00	1.934e-06
GO:1901616	GO:1901616	organic hydroxy compound catabolic process	1.151e-05	0.000e+00	3.010e+00	9.778e-04
GO:1901616	GO:0046164	alcohol catabolic process	2.547e-04	0.000e+00	3.074e+00	8.441e-04
GO:1901616	GO:1901617	organic hydroxy compound biosynthetic process	1.276e-05	0.000e+00	2.650e+00	2.237e-03
GO:1901616	GO:0046165	alcohol biosynthetic process	2.042e-04	0.000e+00	3.341e+00	4.557e-04
GO:1901616	GO:0034310	primary alcohol catabolic process	5.411e-03	0.000e+00	4.531e+00	2.945e-05
GO:1901616	GO:0006069	ethanol oxidation	7.916e-03	0.000e+00	4.231e+00	5.876e-05
GO:0003209	GO:0003209	cardiac atrium morphogenesis	1.166e-05	0.000e+00	5.726e+00	1.881e-06
GO:0003209	GO:0003206	cardiac chamber morphogenesis	3.366e-03	0.000e+00	5.097e+00	8.003e-06
GO:0003209	GO:0003215	cardiac right ventricle morphogenesis	1.255e-04	0.000e+00	5.710e+00	1.949e-06
GO:0003209	GO:0003208	cardiac ventricle morphogenesis	4.554e-04	0.000e+00	5.235e+00	5.825e-06
GO:0006729	GO:0006729	tetrahydrobiopterin biosynthetic process	1.179e-05	0.000e+00	3.924e+00	1.192e-04
GO:0006729	GO:0046146	tetrahydrobiopterin metabolic process	7.637e-03	0.000e+00	3.924e+00	1.193e-04
GO:0006729	GO:0032959	inositol trisphosphate biosynthetic process	2.859e-03	0.000e+00	6.318e+00	4.806e-07
GO:0006729	GO:0042559	pteridine-containing compound biosynthetic process	4.733e-04	0.000e+00	2.555e+00	2.783e-03
GO:0006729	GO:0042558	pteridine-containing compound metabolic process	8.509e-04	0.000e+00	2.387e+00	4.102e-03
GO:0006729	GO:0046654	tetrahydrofolate biosynthetic process	1.639e-03	0.000e+00	3.007e+00	9.845e-04
GO:0006729	GO:0046655	folic acid metabolic process	3.138e-04	0.000e+00	3.285e+00	5.191e-04
GO:0006729	GO:0006760	folic acid-containing compound metabolic process	3.539e-04	0.000e+00	2.456e+00	3.503e-03
GO:0001913	GO:0001909	leukocyte mediated cytotoxicity	8.303e-06	0.000e+00	5.387e+00	4.104e-06
GO:0001913	GO:0001913	T cell mediated cytotoxicity	1.210e-05	0.000e+00	5.839e+00	1.450e-06
GO:0001913	GO:0002456	T cell mediated immunity	6.488e-03	0.000e+00	5.272e+00	5.340e-06
GO:0001913	GO:0042267	natural killer cell mediated cytotoxicity	3.762e-05	0.000e+00	5.854e+00	1.400e-06
GO:0001913	GO:0002228	natural killer cell mediated immunity	3.762e-05	0.000e+00	5.806e+00	1.564e-06
GO:0001913	GO:0070944	neutrophil-mediated killing of bacterium	1.134e-03	0.000e+00	6.094e+00	8.049e-07
GO:0001913	GO:0051873	killing by host of symbiont cells	2.615e-03	0.000e+00	5.587e+00	2.590e-06
GO:0001913	GO:0051702	biological process involved in interaction with symbiont	4.390e-03	0.000e+00	4.610e+00	2.457e-05
GO:0001913	GO:0001906	cell killing	3.240e-05	0.000e+00	4.085e+00	8.225e-05
GO:0001913	GO:0031640	killing of cells of another organism	2.321e-03	0.000e+00	4.105e+00	7.846e-05
GO:0001913	GO:0042088	T-helper 1 type immune response	4.134e-04	0.000e+00	6.021e+00	9.536e-07
GO:0001913	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4.928e-04	0.000e+00	4.875e+00	1.332e-05
GO:2000052	GO:2000052	positive regulation of non-canonical Wnt signaling pathway	1.228e-05	0.000e+00	5.521e+00	3.014e-06
GO:2000052	GO:2000050	regulation of non-canonical Wnt signaling pathway	5.956e-04	0.000e+00	5.259e+00	5.504e-06
GO:2000052	GO:2000096	positive regulation of Wnt signaling pathway, planar cell polarity pathway	3.208e-04	0.000e+00	5.829e+00	1.484e-06
GO:2000052	GO:2000095	regulation of Wnt signaling pathway, planar cell polarity pathway	1.015e-02	0.000e+00	5.601e+00	2.506e-06
GO:2000052	GO:0003402	planar cell polarity pathway involved in axis elongation	1.052e-02	0.000e+00	6.196e+00	6.370e-07
GO:2000052	GO:0003307	regulation of Wnt signaling pathway involved in heart development	2.254e-04	0.000e+00	5.580e+00	2.628e-06
GO:2000052	GO:0003308	negative regulation of Wnt signaling pathway involved in heart development	2.579e-03	0.000e+00	5.727e+00	1.877e-06
GO:2000052	GO:0010641	positive regulation of platelet-derived growth factor receptor signaling pathway	5.171e-03	0.000e+00	5.952e+00	1.118e-06
GO:2000052	GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway	4.696e-03	0.000e+00	5.290e+00	5.131e-06
GO:2000052	GO:0030177	positive regulation of Wnt signaling pathway	6.044e-03	0.000e+00	4.290e+00	5.129e-05
GO:0060363	GO:0060363	cranial suture morphogenesis	1.246e-05	0.000e+00	5.748e+00	1.785e-06
GO:0060363	GO:0001763	morphogenesis of a branching structure	1.657e-02	0.000e+00	4.362e+00	4.346e-05
GO:0060363	GO:0048703	embryonic viscerocranium morphogenesis	1.058e-03	0.000e+00	4.821e+00	1.509e-05
GO:0060363	GO:0060027	convergent extension involved in gastrulation	1.707e-03	0.000e+00	5.033e+00	9.258e-06
GO:0033029	GO:0033029	regulation of neutrophil apoptotic process	1.254e-05	0.000e+00	6.004e+00	9.918e-07
GO:0033029	GO:0033032	regulation of myeloid cell apoptotic process	2.101e-03	0.000e+00	5.367e+00	4.291e-06
GO:0033029	GO:0033033	negative regulation of myeloid cell apoptotic process	3.810e-05	0.000e+00	5.637e+00	2.308e-06
GO:0033029	GO:2000110	negative regulation of macrophage apoptotic process	3.151e-04	0.000e+00	6.393e+00	4.043e-07
GO:2001301	GO:2001301	lipoxin biosynthetic process	1.263e-05	0.000e+00	6.031e+00	9.308e-07
GO:2001301	GO:2001300	lipoxin metabolic process	1.799e-05	0.000e+00	6.019e+00	9.575e-07
GO:2001301	GO:0046951	ketone body biosynthetic process	5.306e-03	0.000e+00	5.294e+00	5.085e-06
GO:2001301	GO:0035338	long-chain fatty-acyl-CoA biosynthetic process	1.304e-02	0.000e+00	5.178e+00	6.637e-06
GO:0009988	GO:0009988	cell-cell recognition	1.266e-05	0.000e+00	4.608e+00	2.464e-05
GO:0009988	GO:0035036	sperm-egg recognition	5.194e-05	0.000e+00	4.637e+00	2.307e-05
GO:0009988	GO:0001771	immunological synapse formation	3.560e-04	0.000e+00	5.833e+00	1.469e-06
GO:0009988	GO:0008037	cell recognition	4.523e-03	0.000e+00	3.866e+00	1.360e-04
GO:0043090	GO:0043090	amino acid import	1.312e-05	0.000e+00	4.489e+00	3.244e-05
GO:0043090	GO:0089718	amino acid import across plasma membrane	5.408e-03	0.000e+00	4.947e+00	1.129e-05
GO:0043090	GO:0051933	amino acid neurotransmitter reuptake	6.925e-04	0.000e+00	6.494e+00	3.204e-07
GO:0043090	GO:0015800	acidic amino acid transport	1.915e-05	0.000e+00	3.587e+00	2.590e-04
GO:0043090	GO:0051938	L-glutamate import	1.271e-04	0.000e+00	5.349e+00	4.474e-06
GO:0032612	GO:0032612	interleukin-1 production	1.317e-05	0.000e+00	5.463e+00	3.445e-06
GO:0032612	GO:0032611	interleukin-1 beta production	2.659e-05	0.000e+00	5.567e+00	2.712e-06
GO:0032612	GO:0032637	interleukin-8 production	5.245e-05	0.000e+00	5.818e+00	1.522e-06
GO:0032612	GO:0032621	interleukin-18 production	8.482e-05	0.000e+00	7.076e+00	8.392e-08
GO:0032612	GO:0032613	interleukin-10 production	9.957e-05	0.000e+00	6.059e+00	8.735e-07
GO:0032612	GO:0032609	interferon-gamma production	1.745e-04	0.000e+00	5.483e+00	3.288e-06
GO:0032612	GO:0032610	interleukin-1 alpha production	2.130e-04	0.000e+00	6.599e+00	2.518e-07
GO:0032612	GO:0032615	interleukin-12 production	2.186e-04	0.000e+00	6.311e+00	4.883e-07
GO:0032612	GO:0010573	vascular endothelial growth factor production	5.797e-04	0.000e+00	5.733e+00	1.850e-06
GO:0032612	GO:0032623	interleukin-2 production	7.474e-04	0.000e+00	5.761e+00	1.736e-06
GO:0032612	GO:0032635	interleukin-6 production	2.160e-03	0.000e+00	5.618e+00	2.411e-06
GO:0032612	GO:0032627	interleukin-23 production	3.535e-03	0.000e+00	8.419e+00	3.815e-09
GO:0032612	GO:0032633	interleukin-4 production	1.398e-02	0.000e+00	5.853e+00	1.404e-06
GO:0032612	GO:0032640	tumor necrosis factor production	2.547e-04	0.000e+00	5.984e+00	1.038e-06
GO:0032612	GO:0071706	tumor necrosis factor superfamily cytokine production	2.588e-04	0.000e+00	5.803e+00	1.575e-06
GO:0032612	GO:0032604	granulocyte macrophage colony-stimulating factor production	3.809e-05	0.000e+00	7.816e+00	1.526e-08
GO:0032612	GO:0002367	cytokine production involved in immune response	1.111e-03	0.000e+00	5.379e+00	4.181e-06
GO:0032612	GO:0032602	chemokine production	7.675e-05	0.000e+00	6.149e+00	7.095e-07
GO:0032612	GO:0071605	monocyte chemotactic protein-1 production	1.564e-03	0.000e+00	8.419e+00	3.815e-09
GO:0032612	GO:0032607	interferon-alpha production	1.175e-04	0.000e+00	6.325e+00	4.730e-07
GO:0032612	GO:0032606	type I interferon production	1.007e-02	0.000e+00	5.673e+00	2.121e-06
GO:0032612	GO:0032608	interferon-beta production	4.315e-04	0.000e+00	6.176e+00	6.675e-07
GO:0032612	GO:0032905	transforming growth factor beta1 production	5.436e-04	0.000e+00	8.419e+00	3.815e-09
GO:0032612	GO:0071604	transforming growth factor beta production	7.994e-04	0.000e+00	7.941e+00	1.144e-08
GO:0032612	GO:0010934	macrophage cytokine production	9.834e-04	0.000e+00	6.410e+00	3.891e-07
GO:0032612	GO:0061082	myeloid leukocyte cytokine production	5.278e-03	0.000e+00	6.068e+00	8.545e-07
GO:0032612	GO:0002440	production of molecular mediator of immune response	4.822e-03	0.000e+00	4.851e+00	1.409e-05
GO:2000794	GO:2000794	regulation of epithelial cell proliferation involved in lung morphogenesis	1.474e-05	0.000e+00	5.843e+00	1.434e-06
GO:2000794	GO:0050679	positive regulation of epithelial cell proliferation	3.911e-03	0.000e+00	4.435e+00	3.672e-05
GO:2000794	GO:0050680	negative regulation of epithelial cell proliferation	5.549e-05	0.000e+00	4.564e+00	2.732e-05
GO:2000794	GO:0001937	negative regulation of endothelial cell proliferation	1.616e-03	0.000e+00	4.977e+00	1.055e-05
GO:2000794	GO:2000345	regulation of hepatocyte proliferation	3.534e-03	0.000e+00	5.693e+00	2.026e-06
GO:2000794	GO:0010837	regulation of keratinocyte proliferation	1.583e-02	0.000e+00	5.206e+00	6.222e-06
GO:2000794	GO:1903587	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	2.688e-03	0.000e+00	5.529e+00	2.956e-06
GO:2000794	GO:0001936	regulation of endothelial cell proliferation	2.292e-03	0.000e+00	4.563e+00	2.738e-05
GO:2000794	GO:0001938	positive regulation of endothelial cell proliferation	4.759e-03	0.000e+00	4.792e+00	1.616e-05
GO:2000794	GO:1905564	positive regulation of vascular endothelial cell proliferation	6.278e-03	0.000e+00	5.580e+00	2.632e-06
GO:0007171	GO:0007171	activation of transmembrane receptor protein tyrosine kinase activity	1.528e-05	0.000e+00	5.792e+00	1.614e-06
GO:0007171	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	2.602e-03	0.000e+00	4.307e+00	4.927e-05
GO:0007171	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	1.230e-02	0.000e+00	4.974e+00	1.063e-05
GO:0007171	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	5.949e-03	0.000e+00	4.693e+00	2.030e-05
GO:0007171	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	6.560e-03	0.000e+00	4.500e+00	3.166e-05
GO:0060192	GO:0060192	negative regulation of lipase activity	1.544e-05	0.000e+00	5.493e+00	3.212e-06
GO:0060192	GO:0060191	regulation of lipase activity	1.370e-03	0.000e+00	4.847e+00	1.423e-05
GO:0060192	GO:0060193	positive regulation of lipase activity	3.012e-03	0.000e+00	4.992e+00	1.018e-05
GO:0060192	GO:0010517	regulation of phospholipase activity	1.021e-02	0.000e+00	4.999e+00	1.002e-05
GO:0060192	GO:0007202	activation of phospholipase C activity	8.773e-03	0.000e+00	5.464e+00	3.437e-06
GO:0060192	GO:0010863	positive regulation of phospholipase C activity	7.940e-03	0.000e+00	5.314e+00	4.852e-06
GO:0060192	GO:1900274	regulation of phospholipase C activity	7.637e-03	0.000e+00	5.285e+00	5.192e-06
GO:0060192	GO:0051006	positive regulation of lipoprotein lipase activity	4.177e-03	0.000e+00	5.746e+00	1.793e-06
GO:0060192	GO:0061365	positive regulation of triglyceride lipase activity	4.177e-03	0.000e+00	5.690e+00	2.041e-06
GO:0060192	GO:0051004	regulation of lipoprotein lipase activity	9.611e-03	0.000e+00	5.510e+00	3.090e-06
GO:0002715	GO:0002715	regulation of natural killer cell mediated immunity	1.591e-05	0.000e+00	4.939e+00	1.151e-05
GO:0002715	GO:0002717	positive regulation of natural killer cell mediated immunity	9.376e-04	0.000e+00	5.023e+00	9.483e-06
GO:0002715	GO:0002858	regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	1.221e-04	0.000e+00	5.812e+00	1.541e-06
GO:0002715	GO:0002855	regulation of natural killer cell mediated immune response to tumor cell	1.221e-04	0.000e+00	5.785e+00	1.640e-06
GO:0002715	GO:0002837	regulation of immune response to tumor cell	3.047e-04	0.000e+00	5.503e+00	3.143e-06
GO:0002715	GO:0002839	positive regulation of immune response to tumor cell	9.872e-03	0.000e+00	5.565e+00	2.720e-06
GO:0002715	GO:0002836	positive regulation of response to tumor cell	9.872e-03	0.000e+00	5.565e+00	2.720e-06
GO:0002715	GO:0002840	regulation of T cell mediated immune response to tumor cell	1.027e-02	0.000e+00	6.035e+00	9.231e-07
GO:0060546	GO:0060546	negative regulation of necroptotic process	1.600e-05	0.000e+00	5.500e+00	3.162e-06
GO:0060546	GO:0060547	negative regulation of necrotic cell death	1.162e-04	0.000e+00	5.409e+00	3.902e-06
GO:0060546	GO:0060544	regulation of necroptotic process	3.667e-04	0.000e+00	5.260e+00	5.493e-06
GO:0060546	GO:0010939	regulation of necrotic cell death	5.685e-04	0.000e+00	5.081e+00	8.293e-06
GO:0045656	GO:0045656	negative regulation of monocyte differentiation	1.664e-05	0.000e+00	5.868e+00	1.354e-06
GO:0045656	GO:0045655	regulation of monocyte differentiation	1.469e-05	0.000e+00	5.470e+00	3.391e-06
GO:0045656	GO:0045657	positive regulation of monocyte differentiation	5.132e-05	0.000e+00	5.719e+00	1.911e-06
GO:0045656	GO:1902106	negative regulation of leukocyte differentiation	3.190e-04	0.000e+00	4.688e+00	2.050e-05
GO:0045656	GO:1903707	negative regulation of hemopoiesis	6.534e-03	0.000e+00	4.675e+00	2.116e-05
GO:0045656	GO:0051151	negative regulation of smooth muscle cell differentiation	4.027e-03	0.000e+00	5.516e+00	3.048e-06
GO:0042246	GO:0042246	tissue regeneration	1.712e-05	0.000e+00	4.561e+00	2.748e-05
GO:0042246	GO:0031099	regeneration	3.323e-04	0.000e+00	4.399e+00	3.993e-05
GO:0042246	GO:0055017	cardiac muscle tissue growth	8.005e-04	0.000e+00	6.269e+00	5.379e-07
GO:0042246	GO:0048839	inner ear development	1.674e-03	0.000e+00	4.665e+00	2.163e-05
GO:0042246	GO:0043403	skeletal muscle tissue regeneration	1.756e-03	0.000e+00	5.616e+00	2.418e-06
GO:0042246	GO:0030901	midbrain development	2.660e-03	0.000e+00	5.042e+00	9.079e-06
GO:0042246	GO:0090102	cochlea development	2.778e-03	0.000e+00	5.388e+00	4.097e-06
GO:0042246	GO:0001945	lymph vessel development	6.741e-03	0.000e+00	5.321e+00	4.780e-06
GO:0042246	GO:0061448	connective tissue development	1.262e-02	0.000e+00	4.916e+00	1.214e-05
GO:0042246	GO:0060041	retina development in camera-type eye	1.284e-02	0.000e+00	4.667e+00	2.152e-05
GO:0042246	GO:0031018	endocrine pancreas development	1.316e-02	0.000e+00	4.972e+00	1.068e-05
GO:0042246	GO:0007398	ectoderm development	1.351e-02	0.000e+00	5.667e+00	2.155e-06
GO:0042246	GO:0097421	liver regeneration	1.890e-02	0.000e+00	5.728e+00	1.869e-06
GO:0042246	GO:0014012	peripheral nervous system axon regeneration	5.967e-05	0.000e+00	6.282e+00	5.226e-07
GO:0042246	GO:0031103	axon regeneration	1.651e-04	0.000e+00	5.448e+00	3.567e-06
GO:0042246	GO:0031102	neuron projection regeneration	2.533e-04	0.000e+00	5.344e+00	4.528e-06
GO:0042246	GO:0003229	ventricular cardiac muscle tissue development	2.497e-04	0.000e+00	5.832e+00	1.472e-06
GO:0042246	GO:0048738	cardiac muscle tissue development	2.407e-03	0.000e+00	5.073e+00	8.457e-06
GO:0042246	GO:0048745	smooth muscle tissue development	1.058e-03	0.000e+00	5.348e+00	4.490e-06
GO:0042246	GO:0003163	sinoatrial node development	1.215e-03	0.000e+00	8.118e+00	7.629e-09
GO:0042246	GO:0003161	cardiac conduction system development	2.029e-03	0.000e+00	5.860e+00	1.381e-06
GO:0042246	GO:0060602	branch elongation of an epithelium	2.739e-04	0.000e+00	5.488e+00	3.250e-06
GO:0042246	GO:0003401	axis elongation	1.462e-03	0.000e+00	5.175e+00	6.683e-06
GO:0042246	GO:0060677	ureteric bud elongation	7.822e-03	0.000e+00	6.839e+00	1.450e-07
GO:0042246	GO:0003197	endocardial cushion development	7.383e-04	0.000e+00	5.633e+00	2.327e-06
GO:0042246	GO:0048339	paraxial mesoderm development	1.267e-03	0.000e+00	5.610e+00	2.457e-06
GO:0042246	GO:0060419	heart growth	1.431e-03	0.000e+00	8.118e+00	7.629e-09
GO:0042246	GO:0035265	organ growth	1.406e-02	0.000e+00	5.104e+00	7.877e-06
GO:0042246	GO:0030282	bone mineralization	4.157e-03	0.000e+00	4.907e+00	1.238e-05
GO:0042246	GO:0031214	biomineral tissue development	6.017e-03	0.000e+00	4.682e+00	2.082e-05
GO:0042246	GO:0035630	bone mineralization involved in bone maturation	1.488e-02	0.000e+00	5.838e+00	1.453e-06
GO:0060039	GO:0060039	pericardium development	1.735e-05	0.000e+00	5.752e+00	1.770e-06
GO:0060039	GO:0072073	kidney epithelium development	8.027e-03	0.000e+00	4.668e+00	2.147e-05
GO:0060039	GO:0061053	somite development	1.893e-03	0.000e+00	5.153e+00	7.026e-06
GO:0060039	GO:0072163	mesonephric epithelium development	3.771e-03	0.000e+00	4.985e+00	1.036e-05
GO:0060039	GO:0003158	endothelium development	4.064e-03	0.000e+00	5.973e+00	1.064e-06
GO:0060039	GO:0060428	lung epithelium development	1.302e-02	0.000e+00	5.641e+00	2.285e-06
GO:2000826	GO:2000826	regulation of heart morphogenesis	1.770e-05	0.000e+00	6.000e+00	9.994e-07
GO:2000826	GO:0090381	regulation of heart induction	2.262e-03	0.000e+00	6.088e+00	8.163e-07
GO:2000826	GO:0003129	heart induction	5.399e-04	0.000e+00	8.419e+00	3.815e-09
GO:2000826	GO:0003156	regulation of animal organ formation	7.903e-05	0.000e+00	5.175e+00	6.691e-06
GO:2000826	GO:1901321	positive regulation of heart induction	2.262e-03	0.000e+00	6.209e+00	6.180e-07
GO:2000826	GO:0042482	positive regulation of odontogenesis	1.256e-02	0.000e+00	6.061e+00	8.697e-07
GO:2000826	GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	6.257e-05	0.000e+00	5.471e+00	3.384e-06
GO:2000826	GO:0090189	regulation of branching involved in ureteric bud morphogenesis	6.257e-05	0.000e+00	5.378e+00	4.192e-06
GO:2000826	GO:1905332	positive regulation of morphogenesis of an epithelium	8.344e-05	0.000e+00	5.139e+00	7.259e-06
GO:2000826	GO:0060688	regulation of morphogenesis of a branching structure	8.199e-05	0.000e+00	4.818e+00	1.519e-05
GO:2000826	GO:1905330	regulation of morphogenesis of an epithelium	7.968e-04	0.000e+00	4.759e+00	1.741e-05
GO:2000427	GO:2000427	positive regulation of apoptotic cell clearance	1.772e-05	0.000e+00	5.997e+00	1.007e-06
GO:2000427	GO:2000425	regulation of apoptotic cell clearance	7.917e-04	0.000e+00	5.846e+00	1.427e-06
GO:2000427	GO:0050766	positive regulation of phagocytosis	1.975e-04	0.000e+00	4.939e+00	1.152e-05
GO:2000427	GO:0050764	regulation of phagocytosis	9.483e-04	0.000e+00	4.771e+00	1.696e-05
GO:2000427	GO:1905451	positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis	8.379e-04	0.000e+00	6.347e+00	4.501e-07
GO:2000427	GO:0060369	positive regulation of Fc receptor mediated stimulatory signaling pathway	5.314e-03	0.000e+00	6.142e+00	7.210e-07
